,Unnamed: 0,singkatan,kata asal
0,,aamiin,amin
1,,adek,adik 
2,,adlh,adalah
3,,ad,ada 
4,,aer,air 
5,,aiskrim,es krim 
6,,aj,saja 
7,,aja,saja 
8,,ajah,saja 
9,,ajalah,saja 
10,,aje,saja 
11,,ajh,saja 
13,,ajj,saja
14,,aku,saya
15,,ak,saya 
16,,akoh,saya
17,,akutu,saya
18,,aq,saya
19,,alesan,alasan 
20,,ama,sama 
21,,amaca,ah masa
22,,amuh,kamu
23,,ancur,hancur 
24,,ane,saya 
25,,anget,hangat 
26,,anjeng,anjing 
27,,ank,anak 
28,,apah,apa 
29,,aph,apa
30,,apo,apa 
31,,apose,apa
32,,apz,apa
33,,artine,artinya 
34,,asek,asik 
35,,ati2,hati-hati 
36,,atit,sakit 
37,,atu,satu 
38,,atw,atau 
39,,ayang,sayang 
40,,ayuk,ayo 
41,,babang,abang
42,,bae,baik 
43,,bais,habis
44,,bakalan,akan 
45,,bales,balas 
46,,bandingin,bandingkan 
47,,banget,sekali 
48,,bangett,sangat 
49,,banyakin,perbanyak 
50,,barengan,bersamaan 
51,,baryaw,sabar ya
52,,baso,bakso 
53,,bay,selamat tinggal
54,,bbrp,beberapa 
55,,bc,baca 
56,,bcs,bisa 
57,,bct,bicara 
58,,bdan,badan 
59,,bdg,bandung 
60,,bdn,badan 
61,,becanda,bercanda 
62,,bedua,berdua 
63,,bego,bodoh 
64,,bekel,bekal 
65,,belom,belum 
66,,belon,belum 
67,,bener,benar 
68,,bener2,benar-benar 
69,,beneran,benar 
70,,berantem,bertengkar 
71,,berenti,berhenti 
72,,besoq,besok
73,,bete,sebal 
74,,beud,banget
75,,bg,bagi 
76,,bgd,sangat 
77,,bget,sangat 
78,,bgini,begini 
79,,bgitu,begitu 
80,,bgks,bungkus 
81,,bgm,bagaimana 
82,,bgmn,bagaimana 
83,,bgn,bangun 
84,,bgni,begini 
85,,bgntdr,bangun tidur 
86,,bgs,bagus 
87,,bgt,sangat 
88,,bgtu,begitu 
89,,bgus,bagus 
90,,bhay,selamat tinggal
91,,bhn,bahan 
92,,bhs,bahas 
93,,bhw,bahwa 
94,,bhy,bahaya 
95,,bisaa,bisa 
96,,bisya,bisa
97,,biza,bisa
98,,bj,baju 
99,,bju,baju 
100,,bk,buku 
101,,bkan,bukan 
102,,bkin,bikin 
103,,bkl,bakal 
104,,bkn,bukan 
105,,bkr,bakar 
106,,bks,bungkus 
107,,bl,beli 
108,,blajar,belajar 
109,,blg,bilang 
110,,blh,boleh 
111,,bli,beli 
