content,label
@04Nakula @jokowi @prabowo @Gerindra @DailymotionUSA pdhl poros ke3 ini sebenarnya mau nelikung koalisi dr @prabowo…,joy
@Achmadr06327297 @fadlizon @Gerindra @prabowo Maap bos...mending ngomong realita aja soal keunggulan itu dimana ung…,joy
"@Gerindra @PKSejahtera @prabowo Seandainya sekutu berpaling, Apa masih tetap calonin Tuan Prabowo? Gak ada yang lebih fresh gitu?",fear
"@fadlizon @Gerindra @prabowo Saya dukung pak prabowo capres,namun plihan #2019TetapJokowi",joy
@Gerindra @PKSejahtera Mencari yang setia dan sepemikiran itu sulit..\nJika anda menemukan sahabat yg setia dan sepe…,trust
#kom4 Edhy P. @Gerindra #sumsel1: kita berharap semoga bisa tegas dan silakan Pak Dirjen utk menyampaikan paparannya.,trust
@Gerindra Memang pak prabowo sdh pernah mimipin  masyarakat..? Paling cuma partai nya yang dipimpinnya kalau jkw di…,anger
@fadlizon @prabowo @Gerindra Kompas medianya cebong,anger
"@fadlizon @Gerindra Gitu ya bos...,gimana nanti bila pks, pan, demokrat ngusung GN.",joy
@fadlizon @Gerindra @prabowo Kalo jokowi sama prabowo... Sy pilih kang sule aja,anticipation
@Gerindra @prabowo Karena mereka takut kalah,joy
"@fadlizon @Gerindra @prabowo Jokowi gk pernah dipecat,gk pernah minggat ke LN, gk pernah dicerai rabi, dan kekayaan…",joy
#Kom4 Edhy Prabowo @Gerindra #Sumsel1: kalo memang tdk ada sikap kooperatif maka kami minta ya ketegasan. Karna ini…,anticipation
"@SmCahaya @ajizenderry @Gerindra Apakah sudah ada yg memastikan, bahwa @jokowi tidak dikentuti oleh kudanya @prabowo ...?",anticipation
@Gerindra @prabowo Saya sangat tidak setuju jika p prabowo slalu dsandingkan dg p jokowi...itu murahan...smoga ini…,disgust
@Gerindra Survay survey cara lama dah gak laku tuh ...\n#2019GantiPresiden,disgust
@Gerindra @Masduqie66 Asyik memang asyik pasti menonjol soalnya orangnya asyik,trust
"@Gerindra Khayalan2 seperti itu biarin saja min, nggak ada waktu hadapi cebong hoax",anger
@WikiDPR #kom4 Edhy P. @Gerindra #sumsel1 membuka rapat pukul 16.17 WIB,joy
"@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono kl hanya tuduhan sudah lah pak gk usah ribet, msh ada hal lain yg lbh penting",fear
@fadlizon @Gerindra prabowo presiden kan masih fiksi.... belum terjadi..   fiksi itu bisa terjadi bisa juga tidak..…,disgust
@fadlizon @Gerindra Jgn paksakan cara fikir anda kpd org lain..,joy
@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono buktikan saja lah @Gerindra kl gak ada bukti brti ya omong kosong,anger
@Gerindra Saya melihat ada suara masyarakat seolah menempatkan Pak Prabowo pantas di posisi Cawapres dan Pemimpin d…,trust
"@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono saya sambut positif pertemuan pak wiranto sm pak sby, kl ada yg n…",joy
@WikiDPR #Kom4 Edhy Prabowo @Gerindra #Sumsel1: kalo memang tdk ada kooperatif maka kami minta ya ketegasan. Karna…,anticipation
@gusmus_md @ajizenderry @Gerindra jokowi bahkan udah bawa kudanya prabowo.,joy
@miftahulhuda_86 @fadlizon @Gerindra @jokowi @MardaniAliSera Gak afa salah dgn silaturahminya...yg menjadi masalah…,trust
@dichyduk @muhamadotib @Syamsul_Faroh @AKanabra @DPP_LPI @Gerindra @PKSejahtera @MardaniAliSera Hahahaha modal meme…,joy
@Andrec2nr @Gerindra @prabowo Ga liat data kalo partai merah paling banyak yg korupsi..,disgust
"@maslani_zaki @wiranto1947 @Gerindra @SBYudhoyono su'udzon itu dosa loh, gak capek gitu ya negative thinking trs @Gerindra",anger
@fadlizon @Gerindra tidak ada kata terlambat untuk sebuah kebaikan.\nterlambat untuk menjadi orang baik baru itu kerugian.,trust
@WikiDPR #Kom4 Edhy Prabowo @Gerindra #Sumsel1: yg gak kooperatif jangan terlalu banyak kita kasih kesempatan lah.,trust
@GunRomli Kok bisa senjata api ada sama napi.. kok bisa ada senjata tajam panjang lagi. USUT TUNTAS\nPanah pun ada..…,anger
Bagaimana bangsa ini mau maju kalau generasi milenialnya pesimis? Makanya ayo kita optimis! #MilenialOptimis…,joy
"@kusmansadik @MataNajwa @Yusrilihza_Mhd @NajwaShihab Padahal judulnya sudah nggak fair, kemana mata-nya, kok bisa m…",fear
"Min @DivHumas_Polri mungkin bisa cek berita ini, apa betul statemen Kapolri. Koq sy rasa ada salah kutip ya?\n\nJk ha…",anticipation
@Yusrilihza_Mhd tolong di cek betul dr partai bulan bintang apa bukan,anticipation
@Ayeesa33 @fathonianton01 @coffee_panas_ @MataNajwa @TRANS7 @PBB2019 @Yusrilihza_Mhd Aamiin allohuma aamiin,joy
"@adealdeya1 @Yusrilihza_Mhd Aceh itu keturunan arab,cina,eropa, hindia belanda benar ga",joy
"Tanya ke bang @adv_supyadi atau sekaligus ke pak @Yusrilihza_Mhd sbg pakar hukum, mungkin bisa kasih pencerahan",trust
"Kok baru tau sih pak Tito?? bukankah napi2 di situ dah lama banget ada?\n\nJadi Ingat, waktu Alexis mau di tutup pak…",anticipation
Kalau memang over capacity kenapa Ahok dipaksakan utk ditempatkan di sana? Akibatnya bukan hanya melanggar UU tapi…,anger
Bangsa kita tidak akan maju kalo kita terus-menerus pesimis. Ayo kita optimis! #MilenialOptimis @Yusrilihza_Mhd @airlangga_hrt @Hary_Tanoe,joy
