Unnamed: 0,tweet,label,emotion
31265,"['pemilu', 'momen', 'bersejarah', 'keseluruhan', 'imbauan', 'adalah', 'panduan', 'memastikan', 'kesuksesan', 'pemilu', 'damai', 'tertib', 'bersama', 'akan', 'membantu', 'indonesia', 'maju', 'masa', 'depan', 'lebih', 'baik']",Joy,Neutral
316,"['betul', 'juga', 'mikinya', 'kalau', 'waktu', 'nikah', 'mau', 'konsul', 'kehamilan', 'maunya', 'pakai', 'dokter', 'biasa', 'dipakai', 'keluarga', 'ku', 'waktu', 'hamil', 'lebih', 'aman']",Neutral,Neutral
4289,"['ngeri', 'sangat', 'jelas', 'positive', 'nongkrong', 'bukannya', 'isoman']",Fear,Fear
26820,"['yang', 'salah', 'cara', 'berpikir', 'yang', 'berperang', 'melawan', 'penjajahan', 'israel', 'bukan', 'hamas', 'seluruh', 'rakyat', 'palestina']",Sad,Anger
8377,"['acara', 'nya', 'seru', 'bange', 'waktu', 'ka', 'abdul', 'nyanyi', 'suara', 'nya', 'bikin', 'hati', 'adem', 'the', 'best', 'deh']",Joy,Joy
4622,"['bused', 'dua', 'kali', 'kirim', 'kata', 'mah', 'mending', 'sender', 'muncul', 'deh', 'dm', 'coba', 'biar', 'tahu', 'usah', 'malu', 'dm', 'terbuka', 'luas', 'se', 'luas', 'semesta', 'jangan', 'buat', 'penasaran']",Fear,Neutral
32917,"['bersama', 'jaga', 'kondusifitas', 'pemilu', 'pemilihan', 'umum', 'puncak', 'demokrasi', 'saat', 'bersatu', 'memilih', 'masa', 'depan', 'indonesia', 'kita', 'jaga', 'kondusifitas', 'hormati', 'perbedaan', 'hindari', 'konflik']",Joy,Neutral
14003,"['gerindra', 'serang', 'balik', 'nasdem', 'kubu', 'jokowi', 'ketakutan']",Joy,Fear
3895,"['sekali', 'kalau', 'slr', 'hanya', 'balas', 'seadanya', 'cp', 'marah', 'ato', 'sebal', 'wajar', 'sih', 'saya', 'merasa', 'bersalah']",Sad,
15965,"['berhutang', 'loh', 'berani', 'nyalon']",Anger,Neutral
34771,"['debat', 'calon', 'ketua', 'osim', 'awali', 'pemilu', 'man', 'tanah', 'datar', 'plus', 'keterampilan', 'hari', 'sumpah', 'pemuda']",Neutral,Neutral
631,"['baru', 'mengirim', 'foto', 'klaten', 'jawa', 'tengah', 'indonesia']",Neutral,Neutral
18927,"['dki', 'jakarta', 'dikelola', 'gubernus', 'anies', 'surplus', 'rp', 't', 'nkri', 'dikelola', 'presiden', 'jokowi', 'minus', 'hutang', 'rp', 't', 'jadi', 'kalau', 'masa', 'depan', 'indonesia', 'mau', 'bagus', 'surplus', 'tidak', 'punya', 'hutang', 'pilih', 'siapa']",Neutral,Neutral
