"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1785006273387438334","Mon Apr 29 18:00:34 +0000 2024","0","@vidio kenapa match lavani vs PBS ga bisa diputar??? mau nonton ulang aksi Beik nih","1785006273387438334","","vidio","in","Di TanahAirku, Indonesia","0","1","0","https://twitter.com/Widya_skb/status/1785006273387438334","372755145","Widya_skb"
"1784987684961968170","Mon Apr 29 16:52:54 +0000 2024","0","@vidio ga mau ga ngasih solusi jg.. solusinya itu re-upload match Proliga nya @LavaniForever kemarin TITIK","1784989247428288792","","vidio","in","JC (1) 😇","0","0","0","https://twitter.com/DefVl06/status/1784989247428288792","2449483950","DefVl06"
"1784942779476623424","Mon Apr 29 13:48:15 +0000 2024","0","@vidio nyiarin indo vs usbek gk??","1784942779476623424","","vidio","in","Denpasar, Jakarta","0","2","0","https://twitter.com/radityaputra_/status/1784942779476623424","86374232","radityaputra_"
"1784719150105219270","Mon Apr 29 10:51:29 +0000 2024","0","@vidio Kecewa banget udah berbayar tapi gak bisa nonton tim uber main ","1784898292716810490","","vidio","in","Metro Barat, Indonesia","0","0","0","https://twitter.com/nungkiki/status/1784898292716810490","183950036","nungkiki"
"1784870266088063164","Mon Apr 29 09:59:34 +0000 2024","0","@vidio Ohhhh di court 4 ternyata ga ada kamera emang","1784885227808006416","","vidio","in","","0","0","0","https://twitter.com/PMskk15/status/1784885227808006416","1304725798050381824","PMskk15"
"1784881335057707047","Mon Apr 29 09:53:47 +0000 2024","0","@vidio Lah tau gitu mending saya langganan SPOTV aja‍️ Ini sampai final emang ga akan ditayangin apa gimana?","1784883772556513447","","vidio","in","ÜT: -6.321956,106.837037","0","1","0","https://twitter.com/sittaazra/status/1784883772556513447","82071507","sittaazra"
"1784882676941377563","Mon Apr 29 09:51:13 +0000 2024","0","@vidio udah min mohon dicek ","1784883126604374476","","vidio","in","Bekasi ","0","1","0","https://twitter.com/wan_iwann8/status/1784883126604374476","1280548072422928389","wan_iwann8"
"1784871664796209609","Mon Apr 29 09:05:40 +0000 2024","0","@vidio saya udah langganan kenapa mau nonton gak bisa ya https://t.co/bFnHUcMLbh","1784871664796209609","https://pbs.twimg.com/media/GMUjUQ0W0AA0ZNj.jpg","vidio","in","","0","1","0","https://twitter.com/day_thatsme/status/1784871664796209609","1631949440469860352","day_thatsme"
"1784809866584109474","Mon Apr 29 05:49:13 +0000 2024","0","@vidio Endingnya kayak Bourne Ultimatum","1784822225365073922","","vidio","in","","0","0","0","https://twitter.com/dn_fadillah/status/1784822225365073922","2518021026","dn_fadillah"
"1784815112899133644","Mon Apr 29 05:20:57 +0000 2024","0","@vidio min voli lavani vs sumsel babel gak bisa di tonton ulang yg tgl 28 kemarin","1784815112899133644","","vidio","in","Kalimantan Tengah, Indonesia","0","1","0","https://twitter.com/Dianrahmad_MD/status/1784815112899133644","84026779","Dianrahmad_MD"
"1784074231371997467","Mon Apr 29 01:12:10 +0000 2024","0","@vidio udh dicek ga ada om malah nayangin suns timberwolves","1784752503550316743","","vidio","in","","0","1","0","https://twitter.com/mibnuy/status/1784752503550316743","86295711","mibnuy"
"1784634244696064215","Sun Apr 28 17:46:01 +0000 2024","0","@vidio Liat komplainannya sama semua tiba² ga bisa dibuka match bolanya. Tadi nonton Arsenal lancar² aja.","1784640224506822960","","vidio","in","Jakarta, Indonesia","0","1","0","https://twitter.com/GanisRamadhan14/status/1784640224506822960","614605283","GanisRamadhan14"
"1784634244696064215","Sun Apr 28 17:22:15 +0000 2024","0","@vidio tolonglah buffering mulu ini terus tiba tiba error dan ga bisa di tonton akhirnya. Saya nonton Netflix yg 4K aja ga buffering sama sekali.","1784634244696064215","","vidio","in","Jakarta, Indonesia","0","1","0","https://twitter.com/GanisRamadhan14/status/1784634244696064215","614605283","GanisRamadhan14"
"1784631880849191401","Sun Apr 28 17:20:02 +0000 2024","0","@vidio Halah udah telat gausah","1784633687755370908","","vidio","in","","0","0","0","https://twitter.com/mishimakazuyaaa/status/1784633687755370908","1381716250691178496","mishimakazuyaaa"
"1784631826235207917","Sun Apr 28 17:12:38 +0000 2024","1","@vidio akhir-akhir ini layanan streaming kalian menjengkelkan. Sering dan banyak bufferingnya. Padahal udah ganti-ganti provider internet sampe pindah device sama aja. Please dong perbaikin!! https://t.co/0qYWqRahOq","1784631826235207917","https://pbs.twimg.com/ext_tw_video_thumb/1784631794589143040/pu/img/nR59vgquIVHf8eiX.jpg","vidio","in","","0","1","0","https://twitter.com/ragilwew/status/1784631826235207917","192565985","ragilwew"
"1784625328419373097","Sun Apr 28 16:51:19 +0000 2024","0","@vidio Oke terima kasih Padahal ku langganannya yg multiple device","1784626458167837002","","vidio","in","Nilüfer, Türkiye","0","0","0","https://twitter.com/Adhirizkyputra/status/1784626458167837002","60019798","Adhirizkyputra"
"1784156683075494174","Sat Apr 27 10:02:52 +0000 2024","0","@vidio ga usah DM bilangin itu ke komentator diem aja gitu","1784161283312693366","","vidio","in","ÜT: -6.9402122,107.7304576","0","0","0","https://twitter.com/titootito/status/1784161283312693366","91787333","titootito"
"1784018784862515500","Sat Apr 27 09:57:50 +0000 2024","0","@vidio males banget harus langganan lg vidio. padahal spotv lebih dulu ada di vision+","1784160015655530972","","vidio","in","Bantul Yogyakarta","0","0","0","https://twitter.com/ginanjartamtomo/status/1784160015655530972","243143110","ginanjartamtomo"
"1784150469377658961","Sat Apr 27 09:19:54 +0000 2024","0","@vidio woiii ini kenapa nonton moto gp tiap Squeeze Frame Ads jadi patah2 kualitasnya sangat MENJENGKELKAN!!!","1784150469377658961","","vidio","in","","0","1","0","https://twitter.com/rizatomawa/status/1784150469377658961","78517462","rizatomawa"
