,full_text,emotion
0,pengabdian terpuji meskipun terlihat biasa,Neutral
1,baru mengirim foto,Neutral
2,apa kabar dunia twitter masihkah selucu seabsurd sebelumnya,Neutral
3,yah gimana sih yaudah susul sebelumnya sarapan bubur tempat biasa,Neutral
4,ka dorg suro beli medium set,Neutral
5,ayo cek koleksinya temukan angry draken unik nftindonesiamendunia _merketplace skin normal eth,Neutral
6,kalau biasa biasa sudah,Neutral
7,tiap tiap twit tak selalu perlu pesan moral kadang kita perlukan tersenyum membaca twit lucu arti memulai hari bahagia,Neutral
8,halo v apa kabar nih,Neutral
9,pagi ruby apa kabar,Neutral
10,beredar kabar haji faisal kini mulai pasang tarif rp juta sekali wawancara,Neutral
11,yukk gass siap mental siapa yang mau pergi,Neutral
12,kabar burung teman lagi sakit,Neutral
13,biasa sangat kalau mimpi suka buat kecoh jerit jerit because iya know mimpi kan selalu opposite perangai biasa tapi masalahnya tiba tiba anak menjerit loghat nismilan kat mak cik anak sbb menyibuk,Neutral
14,kalau kfc iya ada rasanya kalau ayam biasa kan beda sih,Neutral
15,dipikir pikir habis kabar baik eh langsung bisa dibalik,Neutral
16,baru mengirim foto ngaringan klumpit,Neutral
17,ternyata bukan saja diperlakukan itu cewek juga sama specialnya dimata,Neutral
18,cukup spook banner weapon sekali hiks paling coba x pull engulf,Neutral
19,baru mengirim video,Neutral
20,aneh kok nder kamu dom mana kalau deket ayo nonton bareng kutemenin nonton sendiri buruk bodoamat toh tidak kenal awala bingung normal sekali kok,Neutral
21,pagi moots bagaimana kabar kaliaan,Neutral
22,ada komentar iya tapi pro situ saja,Neutral
23,hmm rasa sekarang lebih baik baik daripada kemarin papa,Neutral
24,min kalau yang mau main badminton bareng sekali join gor saratoga selamat sore jam selamat sore monggo join terima kasih min,Neutral
25,biasa na nu jiga kieu mah jadi penjahat na jaka sembung,Neutral
26,bukan kebutuhan hanya iseng joshua termasuk suka bergaul berbagai lapisan masyarakat meskipun sudah puas menghilang saja alright joshua menyelesaikan pencukuran ia segera mengambil sabun khusus membersihkan dada gori,Neutral
27,benda paling sakti ini bukan nuklir doit do it do apa hampir semuanya bisa dibeli,Neutral
28,ingat tetap menjadi orang baik mungkin kamu dibuat hancur mereka sedang tahu apa mereka perbuat tuhan selalu memberikan pengampunan manusia masa kita sesama mamusia bisa saling mengampuni,Neutral
29,bahkan ruu nya ada menentang mirip ah sudahlah mau muaythai biar melindungi diri sendiri,Neutral
30,pagi normal sejuk,Neutral
31,beragama menganggap mencuri menjadi biasa dalih lele nya kabur lalu ambil daripada mati jalan miris,Neutral
32,fuh i know flexi lembap tambah from em to wm seller cukup post feb baru proses ha pastu sangkutlah sudah kali informlah sblom post kalau pakai flexi courier yang normal if tak inform i tak kisah sbb duration tak macam flexi,Neutral
33,untung biasa urus apa apa sendiri yaa plus point for me,Neutral
34,baru mengirim foto special region of yogyakarta,Neutral
35,biasa sarapann adin,Neutral
36,jangan takut mencinta karena pernah terluka cinta sejati tak datang saja melalui proses sedih tawa bersama,Neutral
37,males balas pesan mau deact komunikasi disitu jangan tangan gatal buka kalau urgent deh benar muales,Neutral
38,hai apa kabar harap kamu baik baik disana,Neutral
39,biasa,Neutral
40,biasa srpan raa,Neutral
41,merasa berat melupakan masa lalu ringankan dengan mengingat masa depan bersama orang ada disampingmu ini,Neutral
42,mung piala ciki fokus ucl,Neutral
43,diam bukan berrti limbad saja ijat,Neutral
44,saling menjaga berlaku menjaga pernikahan iya jelas saja memastikan istri bahagia bukan nerimo kurang tepat memastikan keluarga bahagia semua pihak bagahia cuma istri suami anak,Neutral
45,biasa tauu gantengan kamu,Neutral
46,macam biasa la cari xtvt,Neutral
47,semalam disaat hampir tengah malam ku dibuat teriak jelas sama si golden maknae nya liat yaampun sumpah yaa jungkook suka sangat bikin jantung anak gadis baik,Neutral
48,mantap pak erick thohir,Neutral
49,ijab qobul jagalah anaku engkau jaga ibumu sayangi cintai dan bimbing di jalan benar bila engkau bosan jangan tinggalkan sendiri bila marah jangan kamu sakiti kembalikan padaku keluargaku selama masih hidup ku terima kata bapak,Neutral
50,saya ngaruh pakai waktu malam mau tidur besoknya normal lebih baik,Neutral
51,biasanya ka tambah shipping supplier wh nya ka tambahannya won selebihnya ekspedisi tax tetap sharing sama barang ku lain,Neutral
52,ngantuk sangat iya jam tidur jam bangun biasa padahal,Neutral
53,kalau biasa masukin pc insleeve mending beli uk x,Neutral
54,mode biasa mode mengintai,Neutral
55,kabar baik sudah srpan nie,Neutral
56,f orang suka mengganggu biarkan mbak yu jika capai lak yo berhenti sendiri diam kelelahan,Neutral
57,yaahh dinikmati kalau kaya gituu masih orangnya disayang sayang,Neutral
58,bedsheet kan biasa beli queen je kalau pakai katil king guane,Neutral
59,hari sabtu memang biasa libur memang apa,Neutral
60,gm bentar setahun sampai sekarang ada kabar,Neutral
61,paket wisata karimunjawa new ribu guys cek infonya,Neutral
62,sama nder tahun pernah nembak deket sama cowok juga pernah sejombloa nya teman mereka masih yang suka pernah merasakan disukai orang jadi pure jomblo bodo sih mau ada pacar tidak soalnya biasa sendiri jadi finea,Neutral
63,masalah hal biasa tak peduli apapun masalahmu percayalah kamu tak sendiri tuhan selalu bersamamu,Neutral
64,keadilan menang katamu saja siapa memenangi perang akan menjadi keadilan dofalmingo,Neutral
65,tahajud dhuha tiap hari powernya saya luar biasa nder,Neutral
66,kalau kata lulusan ilpidipi nyangkut luar negeri bilangnya perlulah balik indonesia mengabdi dari mana,Neutral
67,sarapan hari dengan seporsi mie instan menemani sunyi kepergian pesan,Neutral
68,eh banyak idol habis kena c word selesai loh tidak kabar sama sekali helloo,Neutral
69,rasa macam x kalau berhenti kerja sbb senior macam itu bukan senior biasa senior citizens weh,Neutral
70,yaa gimana baik nya lah,Neutral
71,kalau kapan bisa kalau krm saya dulu supa bisa kipas jam berapa bisa yha thoo,Neutral
72,belajar investasi masa muda,Neutral
73,tahu man reflek,Neutral
74,hi lagi cari jasa un sus un lock iya ke unlock all case k acc unlock umur k acc unsus biasa k acc payment dilakukan akhir a¼ close uns permanen semi perm,Neutral
75,aurat dari bahasa arab iaitu aurah berarti aib tidak menutup aurat sama seperti membuka aib sendiri,Neutral
76,eyo angkasa akunya rasa kamunya biasa,Neutral
77,bismillahirrahmaanirrahiim joe biden kritisi ikn pemimpin negeri kan pdip maksain ikn iya paham terima kasih yang berkenan rtl tagar,Neutral
78,kadang pesan allah pada orang tidak banyak bicara sangat sederhana,Neutral
79,spotify famplan famplan biasa bulan k bulan k bulan k ppj k famplan antibackfree bulan k bulan k all e wallet ayo langsung or dm iya kak,Neutral
80,hi kamu mau santai masih banyak tugas numpuk solusinya sini ayo segala macam bentuk soal apapun ayo langsung joki tugas dm yang link bio testi cek thread soshumpendidikan iya,Neutral
81,santai dolo d kamar,Neutral
82,haus biasa tahan lapar soalnya,Neutral
83,baru mengirim foto bekasi,Neutral
84,baru kenal baru mau nyapa dilirikint tajem sangat ampe mau copot matanya santai kali mba,Neutral
85,pesan kamu mulai menciptakan secercah harapan,Neutral
86,kalau benar jangan dengerin bercanda in santai pasti yang nerima kamu asal kamu treat your partner benar jangan berkecil hati,Neutral
87,kalah iya,Neutral
88,berita hari diawali politikus korupsi,Neutral
89,menjalani operasi senin januari sejak ia menerima perawatan rawat inap tes pcrnya negatif keluar rumah sakit jimin menunjukkan gejala luar biasa selama berada rumah sakit menderita sakit tenggorokan ringan masuk rumah sakit,Neutral
90,trackinga¼ normal price k rate ems gram air cargo gram fee per tracking mulai k tracking free foto arrived amplop dibuka pengiriman rutin cek go proof shipping testi dm adm untuk tanya,Neutral
91,pindah alhamdulillah jadi pindah alhamdillah ada pengaruhnya tetap cari rejeki sendiri halal keluarga harus mengiba menjilat mengadu domba antar sesama anak bangsa pesan simbah saya ojo ela kamu ojo gumunan ojo mateni rejekine wong liyo,Neutral
92,kiri kanan ku lihat banyak sahabat tweeps tersayang follow akun gurem terimakasih banyak sahabat tweeps tersayang semua telah ikhlas follow akun gurem dengan minimal follow back,Neutral
93,andai dia percaya skenario berikutnya adl happy ending memang ending kan sang penulis kunci nya percaya biasanya dikonflikkan sepanjang waktua dipercayai mempercayai sebelumnya saling percaya happy ending of kemanusiaan langka di kala,Neutral
94,oalah iya apa-apa santai makasih,Neutral
95,hallo jas mau penghasilan tambahan hp minat jpri,Neutral
96,ehh denise baru bangun tidur kabar gini apapun terbaik deh buat denise,Neutral
