,full_text,emotion
0,anies ahmad dahlan jamam now,Neutral
1,ide ahok sudah dijalankan anies ganti nama,Neutral
2,anies sama prabowo kalau anies kalah ke prabowo kalau prabowo kalah ke anies kelompok kaya parasit,Anger
3,pernyataan depan pendukungnya semoga hasil survei tersebut menjadi motivasi anies baswedan cak imin amin terus bekerja keras memberikan terbaik masyarakat,Neutral
4,pemilih anies militan tak tergiur uang bansos jabatan,Anger
5,adik kandung itu embel embel nu nya arahkan pilih anies,Anger
6,sang kadrun melihat menikmati kenaikkan suara anies semakin brutal banteng semakin naik suara anis,Anger
7,kalau anies kalah ke prabowo kalau prabowo kalah ke anies yah ibaratnya kaya parasit cri inang waktu biar di kontrol,Anger
8,kena ketoke ora minat janji ne pak wowo plus bocil kuwi pertarungan sengit bapak ganjar karo bapak anies cak,Neutral
9,caleg partai pendukung diwajibkan mencantumkan nama foto pak anies dunk partai pendukung seharusnya rangkul relawan biar jadi saksi untuk caleg,Anger
10,mkin kasih makan si anies kan banyak uang kelebihan bayar,Anger
11,pak anies cak imin inspirator kebaikan indonesia semoga langkahnya selalu diberkahi,Joy
12,keberkahan kejayaan mengikuti langkah pak anies cak imin semoga indonesia selalu bersinar,Joy
13,kontribusi pak anies jakarta sangat luar biasa kasih kesempatan memberikan terbaik seluruh masyarakat indonesia amin,Joy
14,pak anies cak imin semoga menjadi panutan kebaikan membawa keberkahan indonesia amin,Joy
15,indonesia membutuhkan pemimpin pak anies cak imin membawa berkah kejayaan sukses selalu,Joy
16,pak anies cak imin teruslah berjuang membawa indonesia arah dirahmati penuh kejayaan,Joy
17,doa dukungan keberkahan kejayaan pak anies cak imin maju terus indonesia,Joy
18,dukungan penuh pak anies cak imin tokoh membawa harapan keberkahan indonesia,Joy
19,pak anies cak imin semoga menjadi pilar kejayaan keberkahan indonesia sukses selalu,Joy
20,doa dukungan terbaik pak anies cak imin semoga membawa indonesia puncak kejayaan,Joy
21,efeknya pak anies tidak tahu apa jadi ikuti difitnah nih gimana dong,Sad
22,tenang pak anies gus imin tenang rakyat disini bersamamu,Joy
