"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1801647536496857484","Fri Jun 14 21:55:26 +0000 2024","29","@Indostransfer Asing Madura musim ini kemungkinan bakal gacor efisiensi anggaran hanya diberlakukan ke pemain lokalnya saja. Begitu juga Persib yang sedang melakukan 'bebersih' pemain bench overprice. Semoga kedua klub ini sudah melakukan langkah yang tepat. Hak pemain yg utama prestasi bonus","1801735224654762024","","Indostransfer","in","","0","5","0","https://x.com/wayuuu18/status/1801735224654762024","1387311427958886400","wayuuu18"
"1801647536496857484","Fri Jun 14 21:52:02 +0000 2024","0","@Indostransfer Sebelumnya *cmiiw jika Persib lolos dari playoff ada klub ke-3 yang main di acgl selain Madura yang juga sebelumnya harus melalui playoff. Jika Persib lolos langsung tanpa playoff apakah akan tetap ada klub ke 3 yang bisa main di acgl?","1801734368849002701","","Indostransfer","in","","0","0","0","https://x.com/wayuuu18/status/1801734368849002701","1387311427958886400","wayuuu18"
"1801596984186302759","Fri Jun 14 21:50:38 +0000 2024","0","@FootyRankings Jeonbuk Port Lee man Persib","1801734016007344428","","FootyRankings","in","Bandung","0","0","0","https://x.com/vrijeman___/status/1801734016007344428","1180727063264686080","vrijeman___"
"1801647536496857484","Fri Jun 14 21:48:47 +0000 2024","0","@Indostransfer @vikyfauzy Disini yg main bang dodo nih coba aja ranking liga indo bagus pemain Persib bisa ketemu bang dodo","1801733549768511897","","Indostransfer","in","","0","3","0","https://x.com/hayesstyls/status/1801733549768511897","1799981034425208832","hayesstyls"
"1801663965564489825","Fri Jun 14 21:43:06 +0000 2024","0","@swilkinsonbc Anjir naon warna biruuu persib mereun","1801732118323605980","","swilkinsonbc","in","","0","0","0","https://x.com/Labeaufleur/status/1801732118323605980","1544115184343531520","Labeaufleur"
"1801647536496857484","Fri Jun 14 21:32:41 +0000 2024","0","@Indostransfer persib gaada kualifikasi buat ACLE gitu min?","1801729499920535909","","Indostransfer","in"," planet mars","0","1","0","https://x.com/rumajarumija/status/1801729499920535909","3230861804","rumajarumija"
"1801726479761555877","Fri Jun 14 21:25:00 +0000 2024","0","@cinoriel Wirtz ke Madrid Jamal ke Persib bandung","1801727564832186741","","kwetieau","et","Community of Madrid, Spain","0","1","0","https://x.com/mauturuu/status/1801727564832186741","1514083576769232901","mauturuu"
"1801722148937208293","Fri Jun 14 21:03:29 +0000 2024","0","Sambil Nunggu Liga 1 Bintang Persib Pilih Touring Pangandaran Selengkapnya : https://t.co/Ix951g2MZb &gt;&gt; https://t.co/JmrbSKyug4 &gt;&gt; https://t.co/WxlfOBdemQ #liga1indonesia #liga1 #briliga1 #indonesialiga1 #liga1match #liga1indonesia #ligasatuindonesia1 #bopelnews https://t.co/sdRWUaXFZh","1801722148937208293","https://pbs.twimg.com/media/GQEAvdRbEAAG5C-.jpg","","in","Indonesia","0","0","0","https://x.com/ligasatuindo/status/1801722148937208293","1689906567087550465","ligasatuindo"
"1801647536496857484","Fri Jun 14 21:02:27 +0000 2024","2","@Indostransfer Harus nya peluang juara di ACGL ini terbuka lebar sih tapi sayang Madura rombak besar-besaran kayaknya Persib di ACL2 lolos 16 besar udah bagus sih","1801721889162936565","","Indostransfer","in","bandung","0","0","0","https://x.com/claudeOtat/status/1801721889162936565","1587318290","claudeOtat"
"1801720318031237336","Fri Jun 14 20:56:12 +0000 2024","0","Ok mantap @persib","1801720318031237336","","","in","Bandung","0","0","0","https://x.com/vrijeman___/status/1801720318031237336","1180727063264686080","vrijeman___"
"1801715043203215717","Fri Jun 14 20:35:15 +0000 2024","0","Eweuh timnas timnas this is persib champions after party https://t.co/QjqmeJnPgE","1801715043203215717","https://pbs.twimg.com/ext_tw_video_thumb/1801715017567580160/pu/img/iTFetz_jcIscFIA_.jpg","","in","mersey paradise","0","0","0","https://x.com/4nalcunt/status/1801715043203215717","539981277","4nalcunt"
"1801536864312299783","Fri Jun 14 20:35:06 +0000 2024","43","@aaldirnld @bergulingan Pertanyaannya apakah non LGBT tidak mendapatkan hak2 individu sebagaimana LGBT? Bandingin sama Persib ya gak apple to apple apakah mendukung Persib berbanding lurus dengan sportif? Sedangkan LGBT sebagai kaum yg termarjinalkan ya ketika ada dukungan tentu saja berbanding lurus","1801715004909191302","","aaldirnld","in","","0","4","0","https://x.com/tokpodeia/status/1801715004909191302","1330148988507525124","tokpodeia"
"1801707747680919606","Fri Jun 14 20:19:53 +0000 2024","0","@ValorINTEL @persib @Veronica","1801711176247873734","","ValorINTEL","qam","","0","0","0","https://x.com/Royt315814/status/1801711176247873734","1682001721940115456","Royt315814"
"1801429711333245315","Fri Jun 14 20:15:06 +0000 2024","0","@MafiaWasit Ini kiper persib yang juara liga BRI yah... mantep juga yah persib bisa juara liga 1.","1801709972365185302","","MafiaWasit","in","BSD ","0","0","0","https://x.com/rahapppp/status/1801709972365185302","1290483381763940354","rahapppp"
"1801705021974974866","Fri Jun 14 19:55:25 +0000 2024","4","2 mingguan Persib Juara️ https://t.co/q8AscYUf4k","1801705021974974866","https://pbs.twimg.com/media/GQDxKWjaQAMOPVc.jpg","","in","Bandung","0","1","0","https://x.com/gustianursafta/status/1801705021974974866","623750973","gustianursafta"
"1801703343175385349","Fri Jun 14 19:48:45 +0000 2024","0","Skotlandia di adu we jeung Persib","1801703343175385349","","","in","Bandung, Jawa Barat","0","0","0","https://x.com/biru_muhammad/status/1801703343175385349","1393361800909918210","biru_muhammad"
"1801627297403048398","Fri Jun 14 19:47:48 +0000 2024","0","@DohwaKopling AJGG BOCIL TIKTOK","1801703101310836795","","DohwaKopling","hu","yang persib banget itu","0","1","0","https://x.com/mihyaehru/status/1801703101310836795","1343779757431742464","mihyaehru"
"1801647536496857484","Fri Jun 14 19:44:45 +0000 2024","35","@Indostransfer Lega sib... @persib Banyak banyak syukuran. Sekarang cari asing+pemain lokal yg oke oke","1801702334919282864","","Indostransfer","in","Ngawi, Jawa Timur","0","0","0","https://x.com/agramadhaan/status/1801702334919282864","839732707617718272","agramadhaan"
"1801683869915300218","Fri Jun 14 19:43:50 +0000 2024","7","@Indostransfer Bismillah 1. Zhejiang 2. Selangor 3. Wakil Filipina 4. PERSIB 🇮🇩","1801702103565615575","","Indostransfer","in","Subang, Indonesia","0","2","0","https://x.com/JangKasev/status/1801702103565615575","1296435393827487744","JangKasev"
