username,full_text,topic,topic_probability,predicted_label,probability_emotion
Fifayna,@XXXbyefelicia lol baru je tegur org comment pasal diet mesti cukup lemak utk awet muda/ youth look https://t.co/hbza10KTzr,3,0.93145394325256,Sad,0.26715466380119324
nastyyyycat,Untuk saat ini bukannya gak mau diet tapi lagi suka sama bentuk badan sekarang tapi ttp jaga makan ,0,0.86442321538925,Joy,0.5503113865852356
arressssssssss,@nawwme Kenapa banyak yg pengen diet dah,0,0.20000000298023,Joy,0.6609249711036682
leelyylee,Rekom menu buat diet makasii kakanya udah nge-spill menu nya,1,0.45049670338631,Joy,0.9595564007759094
woyfit,@rimafebrr Kak kan dietnya udah ada perubahan nih apakah setelah itu terus bisa makan makanan kek dulu lagi?tapi dengan keterbatasan tentunya iya ngga? atau masih makan makanan yang sama seperti pas lagi diet?,0,0.91876727342606,Sad,0.666911244392395
ngacmuk,melihat tips diet... hmzz masih oke untuk diusahakan next tweet (gak makan krupuk) GABISAAA ARGHHH,3,0.91946846246719,Anger,0.3940342664718628
kvpall,rutsuki adalah cewek2 ketika disuruh diet https://t.co/bP6YAoM23Q,4,0.31075793504715,Anger,0.532119870185852
nhr_shinosuke,@peachtobeli Untukk Baekhyun semogaaa apa yg sedang kamu kerjakaan selama ini diberikan kelancaran tanpa bebas hambatan. Terus haru sehat juga no no diet lagi pokoknya. Makan apa yg lu mau https://t.co/twlHJRCM7R,0,0.9421272277832,Joy,0.40235593914985657
ziqanimnim,Ye betul siap ckp diet la kurang kn la mkn itu imi yada yada dahtu sudahnya last last kirg yg tk hbis bgi aku jugk jadi alam flora makan yang tak habis tu,4,0.9550222158432,Joy,0.8679465651512146
jrdsty,@dhharu8610 @Adliinnn27 @sugakasep @taqdirkun @kegblgnunfaedh Diet puberty sama perawatan biasa ga bisa bikin bentuk dasar hidung tetiba sempit ujungnya jadi lancip dan tetiba tulang hidung makin tinggi tiap comeback. Kecuali perawatan oplas baru deh bisa ngubah bentuk.,0,0.55164819955826,Neutral,0.43725502490997314
andasia95039345,@mosidik @donnats13 Pasti diet tws yg belasan juta itu ya? Kerenn,4,0.63832730054855,Joy,0.46832865476608276
avmaze,@hyomacaa tidak diet dulu ca,2,0.59929078817368,Anger,0.2826162874698639
avmaze,@salsatrash engga diet,0,0.20000000298023,Joy,0.3694712519645691
SyafiqAkia,Jom start our morning with breakfast Breakfast dpt membantu tingkatkan metabolisma badan kita Kalau kita kawal pengambilan breakfast kita dapat kawal 80% drpd diet kita So lets,3,0.87901765108109,Joy,0.5553644299507141
leejeluoluluu,Fix hari senin gue diet dah ,1,0.73307567834854,Joy,0.45183369517326355
bajubasahcok,@rimafebrr Klo kalian Tau Dokter Tan Shot Yen kalian ikutin aja pola makan dia asal kalian kuat Iman &amp; kuat duit (krn makan sehat itu mahal) insya Allah bakal turun drastis berat badannya + bakal sehat luar biasa. Gw dah ngerasain bukan buat diet BB sih tapi diet krn gw emang ada sakit,2,0.96606063842773,Fear,0.28962627053260803
Sedang_DietOi,@khoirunnisadaa Emang target marketingnya haha,3,0.55114877223969,Anger,0.371135950088501
dhharu8610,@jrdsty @Adliinnn27 @sugakasep @taqdirkun @kegblgnunfaedh denial nya gegara dia diet gegara dia kurus skrg makanya mukanya beda muak banget alasan kek gitu. Dikira yg diet cuma celeb korea aha trus cuma celeb korea aja yg diet bentuk mukanya berubah? Billie eilish adele itu diet jg tpi bentuk mukanya ttep sama,4,0.61841660737991,Neutral,0.5348989367485046
olioleoo,Soalnya katanya ngide bgt pengen diet segala (adalah benar wkwk),4,0.79749286174774,Neutral,0.5463483333587646
itsyouublue,Gagal diet untuk malang kali ini,2,0.50924628973007,Neutral,0.268291175365448
detikfood,5 Manfaat Sarapan Buah di Pagi Hari Salah Satunya untuk Diet https://t.co/Q66FpH6YFo,3,0.73472332954407,Anger,0.2784091532230377
kentomiyauraaa,@mosidik Ajakkin si paling bali diet juga dong bang,3,0.79862284660339,Joy,0.2542908489704132
caramelatte_h,Sekarang aku diet tapi dh kalau hari² ada je hulur benda manis x jadi ye diet aku aku tak makan kena paksa bila dah makan menyesalllll,1,0.74667656421661,Sad,0.37364789843559265
febriinspirit,Temukan dan dapatkan SVELTE Kapsul Pelangsing Herbal Slimming Capsule Extra High Dose 9xTURUN BB LEBIH CEPAT-DIET TERAMPUH hanya Rp290.000 - Rp560.000 di Shopee sekarang juga! https://t.co/lKePr9Pz4S #ShopeeID https://t.co/MkVkKrUNPj,1,0.64537101984024,Neutral,0.4086040258407593
nyu_diet,6/15 63.6kg (-0.1 total-1.4),0,0.73326408863068,Anger,0.3210541307926178
FaqihFaried,Go healthy from inside with this klik the link Cek Dari Bumi Sari Lemon Halal Minuman Diet Alami Premium Pure Original dengan harga Rp46.400. Dapatkan di Shopee sekarang! https://t.co/Z8I4o1DsFg https://t.co/MTG5f9zOh2,1,0.95973455905914,Joy,0.894357442855835
fadhrainbow,Bkn colleague tp pernah ada kawan yg marah aku yg underweight teruk ni post pasal Dr marah aku suruh naikkan berat sbb dia tgh diet..aku mcm aku ada suruh ko jangan diet ke aku ni sampai kena bebel dgn Dr tiba2 dia xpuas hati aku nak naikkan berat..aneh2 manusia ni..,3,0.47964477539062,Fear,0.6417725086212158
asmiranda_bunga,Mw diet aj sulit https://t.co/VIaqwP4pd5,2,0.40001833438873,Anger,0.44637301564216614
NotASugarDady,@rimafebrr Izin tanya. Cara di bikin enak makannya gimana? Serius pernah coba kek begini tapi gagal diet.,3,0.6830962896347,Joy,0.2780015468597412
Topbhoyspliffer,@TamseIIicsonIII Nah diet,0,0.20000000298023,Joy,0.3214752674102783
ibaenong,bau bau comeback nih kalo pake diet gini kayaknya,4,0.86591160297394,Neutral,0.46021366119384766
luvvmarkkiee,@rimafebrr Dah masuk bookmark siap diet:&gt;,1,0.79824727773666,Joy,0.46162813901901245
baerchive,Dari kemarin liat tweet org diet berhasil tanpa tepung dan lainnya. KOK BISA??? KELEN MAM APA??? Direbus doangkah? Gue mau ikutan polanya badan ini mulai gak sehat ,2,0.69155764579773,Joy,0.5095905065536499
