username,full_text,topic,topic_probability,predicted_label,probability_emotion
Fifayna,@XXXbyefelicia lol baru je tegur org comment pasal diet mesti cukup lemak utk awet muda/ youth look https://t.co/hbza10KTzr,3,0.93145394325256,Anger,0.39182403683662415
nastyyyycat,Untuk saat ini bukannya gak mau diet tapi lagi suka sama bentuk badan sekarang tapi ttp jaga makan ,0,0.86442321538925,Anger,0.28438952565193176
arressssssssss,@nawwme Kenapa banyak yg pengen diet dah,0,0.20000000298023,Joy,0.43983301520347595
leelyylee,Rekom menu buat diet makasii kakanya udah nge-spill menu nya,1,0.45049670338631,Joy,0.6735066175460815
woyfit,@rimafebrr Kak kan dietnya udah ada perubahan nih apakah setelah itu terus bisa makan makanan kek dulu lagi?tapi dengan keterbatasan tentunya iya ngga? atau masih makan makanan yang sama seperti pas lagi diet?,0,0.91876727342606,Joy,0.9465211629867554
ngacmuk,melihat tips diet... hmzz masih oke untuk diusahakan next tweet (gak makan krupuk) GABISAAA ARGHHH,3,0.91946846246719,Neutral,0.36463987827301025
kvpall,rutsuki adalah cewek2 ketika disuruh diet https://t.co/bP6YAoM23Q,4,0.31075793504715,Anger,0.3854878544807434
nhr_shinosuke,@peachtobeli Untukk Baekhyun semogaaa apa yg sedang kamu kerjakaan selama ini diberikan kelancaran tanpa bebas hambatan. Terus haru sehat juga no no diet lagi pokoknya. Makan apa yg lu mau https://t.co/twlHJRCM7R,0,0.9421272277832,Joy,0.6133701801300049
ziqanimnim,Ye betul siap ckp diet la kurang kn la mkn itu imi yada yada dahtu sudahnya last last kirg yg tk hbis bgi aku jugk jadi alam flora makan yang tak habis tu,4,0.9550222158432,Sad,0.4537431299686432
jrdsty,@dhharu8610 @Adliinnn27 @sugakasep @taqdirkun @kegblgnunfaedh Diet puberty sama perawatan biasa ga bisa bikin bentuk dasar hidung tetiba sempit ujungnya jadi lancip dan tetiba tulang hidung makin tinggi tiap comeback. Kecuali perawatan oplas baru deh bisa ngubah bentuk.,0,0.55164819955826,Anger,0.48290330171585083
andasia95039345,@mosidik @donnats13 Pasti diet tws yg belasan juta itu ya? Kerenn,4,0.63832730054855,Joy,0.336924284696579
avmaze,@hyomacaa tidak diet dulu ca,2,0.59929078817368,Neutral,0.4505555331707001
avmaze,@salsatrash engga diet,0,0.20000000298023,Joy,0.28319257497787476
SyafiqAkia,Jom start our morning with breakfast Breakfast dpt membantu tingkatkan metabolisma badan kita Kalau kita kawal pengambilan breakfast kita dapat kawal 80% drpd diet kita So lets,3,0.87901765108109,Joy,0.42872121930122375
leejeluoluluu,Fix hari senin gue diet dah ,1,0.73307567834854,Joy,0.35379910469055176
bajubasahcok,@rimafebrr Klo kalian Tau Dokter Tan Shot Yen kalian ikutin aja pola makan dia asal kalian kuat Iman &amp; kuat duit (krn makan sehat itu mahal) insya Allah bakal turun drastis berat badannya + bakal sehat luar biasa. Gw dah ngerasain bukan buat diet BB sih tapi diet krn gw emang ada sakit,2,0.96606063842773,Joy,0.5134769082069397
Sedang_DietOi,@khoirunnisadaa Emang target marketingnya haha,3,0.55114877223969,Joy,0.32260364294052124
dhharu8610,@jrdsty @Adliinnn27 @sugakasep @taqdirkun @kegblgnunfaedh denial nya gegara dia diet gegara dia kurus skrg makanya mukanya beda muak banget alasan kek gitu. Dikira yg diet cuma celeb korea aha trus cuma celeb korea aja yg diet bentuk mukanya berubah? Billie eilish adele itu diet jg tpi bentuk mukanya ttep sama,4,0.61841660737991,Anger,0.3942885994911194
olioleoo,Soalnya katanya ngide bgt pengen diet segala (adalah benar wkwk),4,0.79749286174774,Neutral,0.34405824542045593
itsyouublue,Gagal diet untuk malang kali ini,2,0.50924628973007,Joy,0.27020758390426636
detikfood,5 Manfaat Sarapan Buah di Pagi Hari Salah Satunya untuk Diet https://t.co/Q66FpH6YFo,3,0.73472332954407,Anger,0.29169419407844543
kentomiyauraaa,@mosidik Ajakkin si paling bali diet juga dong bang,3,0.79862284660339,Anger,0.32569849491119385
caramelatte_h,Sekarang aku diet tapi dh kalau hari² ada je hulur benda manis x jadi ye diet aku aku tak makan kena paksa bila dah makan menyesalllll,1,0.74667656421661,Joy,0.3122665584087372
febriinspirit,Temukan dan dapatkan SVELTE Kapsul Pelangsing Herbal Slimming Capsule Extra High Dose 9xTURUN BB LEBIH CEPAT-DIET TERAMPUH hanya Rp290.000 - Rp560.000 di Shopee sekarang juga! https://t.co/lKePr9Pz4S #ShopeeID https://t.co/MkVkKrUNPj,1,0.64537101984024,Joy,0.5511208772659302
nyu_diet,6/15 63.6kg (-0.1 total-1.4),0,0.73326408863068,Joy,0.4061151146888733
FaqihFaried,Go healthy from inside with this klik the link Cek Dari Bumi Sari Lemon Halal Minuman Diet Alami Premium Pure Original dengan harga Rp46.400. Dapatkan di Shopee sekarang! https://t.co/Z8I4o1DsFg https://t.co/MTG5f9zOh2,1,0.95973455905914,Joy,0.36644071340560913
