username,full_text,topic,predicted_label,probability_emotion
tigapuluhtigax,TIMNAS PRIA DAN WANITA MENANG + ERIK TEN HAG STAY,1,Love,0.35678306221961975
sotongism,ngerasa ga sih sekarang timnas kalo main pakek jersey putih tuh aura menangnya naik drastis beda sama dulu kalo main pakek jersey putih nih pesimis duluan #TimnasDay,3,Anger,0.3988540768623352
peanutkacang123,2 Sejarah Dicetak Timnas Indonesia Usai Ganyang Filipina STY Pelatih Pemecah Rekor. #TimNasDay https://t.co/nLxTrlEYx5.,3,Joy,0.4291238486766815
PKananku1927,@womensfootie_id Tinggal tmbah pemain diaspora bisa lah ini timnas putri bersaing di Asia ,1,Anger,0.24408376216888428
kangsil2012,Timnas Indonesia Vs Timnas Filipina 2-0 Indonesia Lolos ke Putaran Ketiga Kuaifikasi Piala Dunia 2026 https://t.co/if6QFIOQdd #sepakbola #IndonesiaFilipina #kualifikasipialadunia #TimnasIndonesia #TimnasFilipina #pssi,2,Joy,0.5949999690055847
refnotrev,@amayzing__ @idextratime antara lu fomo timnas atau emang kaga ngerti sistem pot,8,Anger,0.24157005548477173
KimJongUncchhhh,@fahmiiiiii14 @idextratime Beliau ini literally mantan pemain timnas yg beneran orang bola. Lah yg duduk di vip malah artis2 ga jelas. Kesannya kek habis manis sepah dibuang njir,3,Sad,0.3353227972984314
joyszeamays,Ternyata jodohnya sama Indo-Philiphine bukan Indo-Irak. Bonus liat perjuangan timnas lolos ke putaran ketiga : ),2,Love,0.30578961968421936
DenSombedt,@StatsRawon Kyok e Malik Rivera ambek glison Costa soale Malik wes mari teko timnas Kari Poto ambk gwe vidio,3,Joy,0.3779670298099518
ilyasaihza_,Sareneng kitu timnas menang? Abi mah bodo amat,4,Sad,0.29285910725593567
RendyAf14,@OneSuccumb timnas kapan ya maen di bdg,7,Joy,0.4277367889881134
situmeangbennyy,Ternyata gini rasanya punya timnas jago,3,Love,0.25573426485061646
Aryapratam19,@Iyangaprill Lawak emng org bandung ajg ni kontol lu semua pendukung Persib ajg ini timnas bung bukan dukung antar club gosa merasa klub lu hebat dari timnas jijik gua lihat komen penduduk Persib ni tolol,9,Anger,0.5067424178123474
Bolalob,Prediksi pembagian POT undian Round 3 Kualifikasi Piala Dunia 2026. Timnas Garuda masuk POT terakhir karena termasuk yang paling rendah ranking FIFA nya. Undian akan dilakukan 27 Juni mendatang. Ingin satu grup dengan siapa lob? #BolalobFootball https://t.co/fdmfDdUXTI,2,Love,0.2691774368286133
iamultras,@SHLWT_FC @IraqFootballPod Bangke onion kids wkwkwk,2,Joy,0.2430703341960907
AchsanNurh,Kalo kondisi rumput GBK masih jelek mendingan buat konser aja. Timnas pake stadion lain yg layak,6,Joy,0.48346394300460815
ndeyday,gua mimpi sekeluarga di kejar kejar timnas soalnya kita di jajah lagi kesel bgt sm si Rafa Rafa itu hampir mau gebukin gua pls lah ini mimpi tercape karena harus lari ngumpet ,4,Joy,0.44586142897605896
alfiqulizzi,Timnas menang EtH stay ,4,Love,0.26571786403656006
irwan_saahh,@idextratime Tenang pak Haye setelah ini rumput gbk akan dibenerin lagi kok sampe bagus tapi ya buat konser bukan buat timnas,4,Joy,0.30134469270706177
Ekingsindo,Antisipasi ditinggal Frenkie de Jong yang cederanya tak kunjung membaik. Timnas Belanda memanggil pemain keturunan Indonesia Ian Maatsen dalam ajang EURO 2024 ini. . Kesempatan emas nih bang Ian. https://t.co/s40gJOuq3T,8,Joy,0.4119095802307129
fun_hanif,Temen gw yg biasanya tiap tahun ranjin nonton badminton di istora karna ueforia badminton lagi menurun tiba2 tahun ini nonton timnas bola Hahaha Ga apa2 yg penting dukung terus atllit2 Indonesia ke kancah dunia 🇮🇩,3,Neutral,0.4369848668575287
najbi69,@kibooocil Bang tolong saya mau join sirkel tribun timnas carane piye,3,Love,0.2056773155927658
abcdefitria,@MafiaWasit Maka dari itu dihimbau untuk lebih sadar diri gak usah berekspektasi berlebihan dan cukup mendukung Timnas supaya memberikan yang terbaik aja,1,Joy,0.39978763461112976
Franzy_Lin,@SiaranBolaLive Setuju... sangat yakin timnas bisa main di luar GBK. 3 match terakhir jd bukti bahwa pengelola GBK sgt sgt tidak serius. Ayo pssi alternatif pasti ada.,4,Joy,0.2424732893705368
dimasirat,@weyeschae @UpdateBolabola komentator sama analis semalem enak banget. banyak ilmu yg bisa diambil. BP ngasih banyak pengalaman dia di timnas dulu dan analisa pertandingan nya keren dibandingkan RCTI mah.,3,Joy,0.4210360646247864
khoirul7779,@kegblgnunfaedh Gua mah semalam kesal saat pemain timnas Indonesia melingkar malah ada anang asanti nyanyi gak karuan bikin kesel,3,Sad,0.47574418783187866
ibnucssc19,@mchlrs_ @Indostransfer Bener aff mainin tim cadangan dah kek dimas drajad egy kiper adi satryo ferari ricky sama yance sayuri. Ini di timnas sekarang kek lapis ketiga nya Karna lapis 2 itu minimal sekelas asnawi arhan dan witan,3,Anger,0.23435811698436737
lifeofsep,Timnas menang Main futsal menang Obrolan semalam buta seru Bekal yang cukup untuk memulai pagi hari ini dengan senyuman semoga tetap ada sampai matahari tenggelam.,3,Joy,0.34470584988594055
idyllic48bola,@GilangTV @ndha_mella @Indostransfer Udah pernah coba nonton V+ pakai perantara RCTI+? Di tempat gw kebetulan aman2 aja bahkan saat Timnas main home sekalipun (udah nyobain waktu lawan Irak lancar2 aja pas lagi perjalanan pulang),2,Neutral,0.6759365797042847
umardhan,@mas_triadhianto Congrats Timnas... tinggal mas @mas_triadhianto berjuang jadi Walkot Bekasi...semangaat mass,1,Joy,0.389756441116333
berdoasblmtidur,Teringat Timnas jamam Simon saat lakoni Kualifikasi PilDun satu grup dengan Malay Thai Vietnam UEA namun gagal total tidak pernah menang sama sekali pun dapat 1 poin saat dilatih STY. Waktu cepat berlalu STY mengubah segalanya kini berhasil lolos round 3 pertama kali rayakan! https://t.co/yPqdUfHMIm,2,Joy,0.3398852050304413
udahpipis,NOOO TEN HAG STAY DI EMYU. SOUTHGATE KEKNYA GAK BAKAL DIPECAT DARI TIMNAS INGGRIS,3,Anger,0.2635433077812195
Generasiosing,@tempodotco Gapapa selagi mampu mengangkat performa Timnas Indonesia,3,Anger,0.2727564573287964
BrozovicAngga,@indosupporter Semoga semua pecinta timnas diberi berkah panjang umur,3,Joy,0.38456711173057556
LissaSakura,Ya kalau ga di keep bisa lah ke Timnas Indonesia ETH hehehe,3,Joy,0.39950674772262573
hengponjaduul,@MAYT_Media wkwkwkwk sabaar sabaar yang penting timnas akhirnya menang,2,Joy,0.27073830366134644
aadityaherdian,@Indostransfer Bismillah nonton timnas bareng istri dan anak sekalian umroh. ,3,Joy,0.4146970808506012
putrategar2709,Lolos ke babak ketiga World Cup Qualifiers lawan-lawan Timnas Indonesia tentu bakal jauh lebih berat. Karena itu lima laga kandang saat Indonesia dapat dukungan penuh suporter harus bisa dimaksimalkan dengan baik. #TimnasDay,2,Joy,0.6597451567649841
okezonenews,@MaartenPaes30 6 Pemain Keturunan Grade A yang Berpotensi Gabung Setelah Timnas Indonesia Lolos ke Babak Ketiga Kualifikasi Piala Dunia 2026 https://t.co/epxgcwjpEg,2,Joy,0.33695513010025024
AgustiniSukardi,@iradiojogja Yeeyyyy congrat Timnas Indonesia!!! Pagi Kak Ari &amp; Kak Adel Alhamdulillah nyenyak mkspn ngga ikut nonton timnas berlaga tp ikut senang dg kemenangan Garuda Muda ️ Request lagu Boleh Juga dan Rumah dari Salma Salsabil yak?! Terima kasih selamat beraktivitas ,3,Joy,0.8147743344306946
garem_oren,Ini federasi sama timnas nya tinggal nunggu kena azab aja,3,Love,0.23692505061626434
akankulepas,@muhfirda__ @idextratime @erickthohir Ian Maatsen bukannya dipanggil timnas Belanda ya? Gara gara De Jong dicoret,9,Neutral,0.28599071502685547
qvgkly,@idextratime Info2 sp aja yg mau gabung timnas gaes,1,Joy,0.3151005804538727
mhafidzn_,Oh gini rasanya punya timnas keren #TimnasDay https://t.co/O0iy69Yapk,3,Joy,0.5414409041404724
dmx347,@erickthohir Aduh pak sekelas timnas tapi lapangan ancur gitu .,4,Neutral,0.2609463930130005
tbzueyon,@mayaramadanty @00beinghuman Aku cogil nya idzes sejak dia debut timnas wkwkw bukan cegil tp,3,Sad,0.33320289850234985
bungsulieurr,@fahmiiiiii14 @idextratime Di stadion yang sama melawan timnas yang sama damn... ,4,Joy,0.25685378909111023
_the_blue_sea_,@Xenoverse98 @idextratime @bliblidotcom Timnas pusat: Bang Jago Belanda Timnas cabang: Kak Indo oke gas Timnas ranting: Dik Suriname cah bagos,9,Anger,0.2189660370349884
ariwibo80086283,@Indostransfer yg ranking 100+ cuma Indonesia aja lho sementara ini.. tp tetep bangga dan apresiasi untuk Timnas kita menyala Garuda ku,1,Joy,0.2398182898759842
SamFerkyFers10,Euro terakhir dan kompetisi internasional terakhir buat Oliver Giroud sebelum pensiun dari timnas. Dia udh menangin hampir semua level internasional: - juara World Cup + runner-up cmn lwt adu penalty - juara Nations League - juara UCL - juara UEL Juara Euro sbg penutup??,3,Anger,0.235743448138237
bocilgajelas,seruu banget bacain berita dan komen tentang timnas kalo pas menang ,3,Joy,0.24169233441352844
gagal_hijrah,Kita lihat semalam bagaimana kebanggan thd Timnas kita menggema di media sosial Nasionalisme tdk pakai Buzzing Pancasila hrusnya bisa masuk pd ruang2 sprti itu kebanggaan kecintaan pd Pancasila. Susah? Iya tp tdk dng smpai membayar anak2nya sndri utk mencintai Ibunya.,1,Love,0.3778683543205261
rayobet,Well deserved... Maju terus timnas!!!,3,Joy,0.5369843244552612
idyllic48bola,@duertenoppert @vkwmflf @pra_dypta @Indostransfer Bahkan FMD pun lebih tepatnya kalo main home R2 Kualifikasi Pildun 2026 pun kalo Timnas Indo away harus beli hak siar terpisah dari kontrak dgn PSSI (itu sebabnya MNC juga siarkan laga Vietnam vs Filipina walaupun cuma di channel TV berbayar),3,Neutral,0.25142017006874084
