created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Feb 20 12:07:34 +0000 2024;1759912677063938248;"@safergieway @PSSI True bang. bener² ga ngerti sih cara mainnya pssi, pelatih kelas dunia mah bisa kapan ajaa. kalo kompetisi ga jalan yaa percuma wkwk timnas cowok aja yg punya kompetisi setengah mati pengen prestasi";0;0;0;0;in;2980352259;1759907014732603561;erseee_;https://twitter.com/erseee_/status/1759912677063938248
Tue Feb 20 06:48:09 +0000 2024;1759832292120473642;"Padahal buat jam terbang dan latihan kan kalo ada liga dan klub ya timnas aja mainnya per berapa tahun dl 😅";0;0;0;0;in;222327645;1759831776053375061;sidneyalesandra;https://twitter.com/sidneyalesandra/status/1759832292120473642
Mon Feb 19 07:44:28 +0000 2024;1759484077848297756;"@garagarabola_ Lebih penting timnas bagus mainnya daripada segala Jersey aja dikerenin🤭";0;0;0;0;in;1397211081127260160;1759440420923404374;IjoelSi;https://twitter.com/IjoelSi/status/1759484077848297756
Mon Feb 19 06:35:41 +0000 2024;1759466767431135247;"@Tyows pdhal Pemain Timnas inggris nih gw rasa gada 1 pun Midfielder yg gaya mainnya kyak Mainoo,kenapa masih ga sat set buat manggil dia wkwk";0;0;0;2;in;1681878789624832003;1759441743785894135;iraone2345;https://twitter.com/iraone2345/status/1759466767431135247
Sun Feb 18 17:29:21 +0000 2024;1759268879782887897;"@utdfocusid @bliblidotcom Semuanya out kecuali hojlund, diganti sm pemain2 timnas kcuali Struick wkwk mainnya masih bagusan timnas kmrn cok";0;0;0;0;in;1218423862762721281;1759267395548627210;Dwifitr70287374;https://twitter.com/Dwifitr70287374/status/1759268879782887897
Sun Feb 18 17:11:58 +0000 2024;1759264504582738422;"@HusniSeeban Klo bener begini cara mainnya, bisa botak kepalaku ngelayani mereka.   Dugaan begini dah diketahui TIMNAS Amin gak ya?";0;0;0;1;in;1438101732001648646;1759138561511797094;Yatim_Lovers;https://twitter.com/Yatim_Lovers/status/1759264504582738422
Sun Feb 18 13:36:18 +0000 2024;1759210231413006626;"Doni kalo mainnya makin drop posisinya di timnas bisa terancam, siap2 digeser Luvi";0;1;0;0;in;1685895682908172288;1759210231413006626;txtfromkirana;https://twitter.com/txtfromkirana/status/1759210231413006626
Sun Feb 18 11:38:52 +0000 2024;1759180678531588420;"@SiaranBolaLive Sepanjang gelaran turnamen piala asia, tiap timnas lakuin pergantian pemain, dimana udah pasti pemain yang masuk dari bench itu pemain dari liga 1 udah pasti permainan timnas menurun. Makanya timnas kita mainnya selalu oke dibabak pertama.";0;4;4;151;in;558492100;1759179367320809815;manopeee;https://twitter.com/manopeee/status/1759180678531588420
Sun Feb 18 09:47:36 +0000 2024;1759152676917686502;"@senum_girls19 @sachet_kemasan Silva di timnas kuba mainnya MB, pelatih kalau mau radikal bisa aja pasang MB, OPnya Moon JiYoon";0;2;0;0;in;1207387659871481856;1759139117454275042;jeffrykim20;https://twitter.com/jeffrykim20/status/1759152676917686502
Sat Feb 17 15:21:09 +0000 2024;1758874229028897025;"@1708Lisna apakah mainnya brutal seperti timnas vietnam?";0;0;0;0;in;1479501074918641666;1758808472148398464;Zuly_annie;https://twitter.com/Zuly_annie/status/1758874229028897025
Sat Feb 17 10:55:42 +0000 2024;1758807427183722944;"@MafiaWasit Udah dibilang timnas mainnya di Batakan ae";0;0;0;0;in;420912513;1758450704254222446;Dedy_Stywn;https://twitter.com/Dedy_Stywn/status/1758807427183722944
